prolificID,taskName,trial_index,repeat1,repeat2
559ad287fdf99b219a612d22,crowding,1,0.301029996,0.301029996
559ad287fdf99b219a612d22,crowding,2,0.301029996,0.902645819
559ad287fdf99b219a612d22,crowding,3,0.517937047,0.902645819
559ad287fdf99b219a612d22,crowding,4,0.7408713849999999,0.45491326099999996
559ad287fdf99b219a612d22,crowding,5,0.9134735789999999,0.8224674595
559ad287fdf99b219a612d22,crowding,6,0.871407148,0.840143187
559ad287fdf99b219a612d22,crowding,7,0.7355577059999999,0.693273556
559ad287fdf99b219a612d22,crowding,8,0.663052811,0.8981193575
559ad287fdf99b219a612d22,crowding,9,0.7764008375,1.0645935794999999
559ad287fdf99b219a612d22,crowding,10,0.730388372,0.9703299765
559ad287fdf99b219a612d22,crowding,11,0.7520101485,0.9192144655000001
559ad287fdf99b219a612d22,crowding,12,0.8200665739999999,0.8839350605
559ad287fdf99b219a612d22,crowding,13,0.8282414245,0.906502725
559ad287fdf99b219a612d22,crowding,14,0.8454173899999999,0.9289938965
559ad287fdf99b219a612d22,crowding,15,0.819896749,0.9042911725
559ad287fdf99b219a612d22,crowding,16,0.8357079354999999,0.8838067144999999
559ad287fdf99b219a612d22,crowding,17,0.815709682,0.8659748810000001
559ad287fdf99b219a612d22,crowding,18,0.853630785,0.878066544
559ad287fdf99b219a612d22,crowding,19,0.8694104355000001,0.9131350815000001
559ad287fdf99b219a612d22,crowding,20,0.8515196620000001,0.9267050715
559ad287fdf99b219a612d22,crowding,21,0.8368915455,0.9118773075
559ad287fdf99b219a612d22,crowding,22,0.8485972245,0.8987233075000001
559ad287fdf99b219a612d22,crowding,23,0.8611393535,0.8867206755
559ad287fdf99b219a612d22,crowding,24,0.8480250485,0.8757237689999999
559ad287fdf99b219a612d22,crowding,25,0.8366477784999999,0.8812827085
559ad287fdf99b219a612d22,crowding,26,0.8460249225,0.8885395285
559ad287fdf99b219a612d22,crowding,27,0.8485758095,0.8957702270000001
559ad287fdf99b219a612d22,crowding,28,0.839085822,0.9030832275
559ad287fdf99b219a612d22,crowding,29,0.842239144,0.906695806
559ad287fdf99b219a612d22,crowding,30,0.8493889855000001,0.898303814
559ad287fdf99b219a612d22,crowding,31,0.8412053405,0.8903802185
559ad287fdf99b219a612d22,crowding,32,0.833603401,0.8963505145
559ad287fdf99b219a612d22,crowding,33,0.8263972005,0.9025311775
559ad287fdf99b219a612d22,crowding,34,0.831875296,0.905631222
559ad287fdf99b219a612d22,crowding,35,0.837693511,0.8987430000000001
559ad287fdf99b219a612d22,crowding,36,0.8402143790000001,0.8921393995
559ad287fdf99b219a612d22,crowding,37,,0.789799526
559ad287fdf99b219a612d22,crowding,38,,
559ad287fdf99b219a612d22,rsvp,1,1.4771212543836436,1.4771212543836436
559ad287fdf99b219a612d22,rsvp,2,1.4771212543836436,1.4771212543836436
559ad287fdf99b219a612d22,rsvp,3,2.5641211193836435,2.5641211193836435
559ad287fdf99b219a612d22,rsvp,4,2.496419006383644,2.496419006383644
559ad287fdf99b219a612d22,rsvp,5,2.743312020383644,2.743312020383644
559ad287fdf99b219a612d22,rsvp,6,2.479125374383644,2.564119956383644
559ad287fdf99b219a612d22,rsvp,7,2.4756437183836435,2.6459739453836435
559ad287fdf99b219a612d22,rsvp,8,2.430637762383644,2.761677461383644
559ad287fdf99b219a612d22,rsvp,9,2.428564976383644,2.9363742833836435
559ad287fdf99b219a612d22,rsvp,10,2.457474199383644,2.657142414383644
559ad287fdf99b219a612d22,rsvp,11,2.456285994383644,2.651427344383644
559ad287fdf99b219a612d22,rsvp,12,2.476621458383644,2.624439815383644
559ad287fdf99b219a612d22,rsvp,13,2.494314481383644,2.644507952383644
559ad287fdf99b219a612d22,rsvp,14,2.4758559293836435,2.662951900383644
559ad287fdf99b219a612d22,rsvp,15,2.4905282453836435,2.6610760713836434
559ad287fdf99b219a612d22,rsvp,16,2.489567792383644,2.6767698253836434
559ad287fdf99b219a612d22,rsvp,17,2.502159413383644,2.674887092383644
559ad287fdf99b219a612d22,rsvp,18,2.4890289433836434,2.688254978383644
559ad287fdf99b219a612d22,rsvp,19,2.500041594383644,2.700860967383644
559ad287fdf99b219a612d22,rsvp,20,2.499353701383644,2.7133074003836435
559ad287fdf99b219a612d22,rsvp,21,2.5090086503836435,2.725238182383644
559ad287fdf99b219a612d22,rsvp,22,2.508452254383644,2.736735538383644
559ad287fdf99b219a612d22,rsvp,23,2.5170919013836435,2.735307793383644
559ad287fdf99b219a612d22,rsvp,24,2.5250259313836434,2.7340993563836435
559ad287fdf99b219a612d22,rsvp,25,2.5242679733836435,2.743883654383644
55d51a6b8ce09000127d4821,crowding,1,0.301029996,0.301029996
55d51a6b8ce09000127d4821,crowding,2,0.301029996,0.301029996
55d51a6b8ce09000127d4821,crowding,3,-0.468387548,-0.468387548
55d51a6b8ce09000127d4821,crowding,4,0.397860035,-0.293832596
55d51a6b8ce09000127d4821,crowding,5,0.072386996,-0.6223062454999999
55d51a6b8ce09000127d4821,crowding,6,0.1553510045,-0.099293999
55d51a6b8ce09000127d4821,crowding,7,0.0217366195,-0.007864740000000009
55d51a6b8ce09000127d4821,crowding,8,0.081052315,0.257192469
55d51a6b8ce09000127d4821,crowding,9,0.028963203,0.221897359
55d51a6b8ce09000127d4821,crowding,10,0.1223963,0.08761705149999999
55d51a6b8ce09000127d4821,crowding,11,0.08695630800000001,0.11626914300000002
55d51a6b8ce09000127d4821,crowding,12,0.10153029200000001,0.04911014599999999
55d51a6b8ce09000127d4821,crowding,13,0.1175610055,0.011623432999999989
55d51a6b8ce09000127d4821,crowding,14,0.1685919215,-0.016283870000000006
55d51a6b8ce09000127d4821,crowding,15,0.1462087745,-0.039933997
55d51a6b8ce09000127d4821,crowding,16,0.1604787615,0.008892034500000007
55d51a6b8ce09000127d4821,crowding,17,0.175295654,0.022920809999999986
55d51a6b8ce09000127d4821,crowding,18,0.157681549,0.0372175065
55d51a6b8ce09000127d4821,crowding,19,0.171335483,0.0740140785
55d51a6b8ce09000127d4821,crowding,20,0.186222306,0.05771709849999998
55d51a6b8ce09000127d4821,crowding,21,0.171089764,0.04348585999999999
55d51a6b8ce09000127d4821,crowding,22,0.1579636755,0.0724780135
55d51a6b8ce09000127d4821,crowding,23,0.16228551800000002,0.08352527699999998
55d51a6b8ce09000127d4821,crowding,24,0.1514201675,0.0710287045
55d51a6b8ce09000127d4821,crowding,25,0.14142148999999998,0.059864895
55d51a6b8ce09000127d4821,crowding,26,0.13211340100000002,0.04954425400000001
55d51a6b8ce09000127d4821,crowding,27,0.139208542,0.057473364
55d51a6b8ce09000127d4821,crowding,28,0.1306118175,0.0660170255
55d51a6b8ce09000127d4821,crowding,29,0.12258283749999999,0.056788582500000004
55d51a6b8ce09000127d4821,crowding,30,0.1149342935,0.04830870549999999
55d51a6b8ce09000127d4821,crowding,31,0.107607116,0.04034489050000001
55d51a6b8ce09000127d4821,crowding,32,0.10065042699999999,0.04331655500000001
55d51a6b8ce09000127d4821,crowding,33,0.09402363450000001,0.036161415500000016
55d51a6b8ce09000127d4821,crowding,34,0.087589021,0.04190039499999998
55d51a6b8ce09000127d4821,crowding,35,0.0814091495,0.04460560999999999
55d51a6b8ce09000127d4821,crowding,36,0.0855666145,0.047712554500000004
5685850c333cbd000d4e042f,rsvp,1,1.4771212543836436,1.4771212543836436
5685850c333cbd000d4e042f,rsvp,2,1.4771212543836436,1.4771212543836436
5685850c333cbd000d4e042f,rsvp,3,2.5641211193836435,2.5641211193836435
5685850c333cbd000d4e042f,rsvp,4,3.161462891383644,3.161462891383644
5685850c333cbd000d4e042f,rsvp,5,3.079956974383644,3.5236780083836434
5685850c333cbd000d4e042f,rsvp,6,3.047289437383644,3.336618775383644
5685850c333cbd000d4e042f,rsvp,7,3.126085840383644,3.292415577383644
5685850c333cbd000d4e042f,rsvp,8,3.113565095383644,3.350045055383644
5685850c333cbd000d4e042f,rsvp,9,3.109350454383644,3.390390661383644
5685850c333cbd000d4e042f,rsvp,10,3.140202600383644,3.355563862383644
