Observer,FlankinDirection,Eccen_X,Eccen_Y,RadialEccentricity,CrowdingDistance,TargetDeg,Font,Meridian,Task,Session
S3,radial,0,10,10,4.41091105755522,3.15065075539659,Sloan,Upper,crowding,2
S3,radial,-0,-10,10,3.34620838849017,2.39014884892155,Sloan,Lower,crowding,2
S3,radial,5,0,5,0.371800932054463,0.265572094324616,Pelli,Right,crowding,2
S3,radial,-5,-0,5,1.90970478737065,1.36407484812189,Pelli,Left,crowding,2
S3,tangential,5,0,5,0.439401101518911,0.325929388489302,Sloan,Right,crowding,2
S3,tangential,-5,-0,5,0.473201186251135,0.338000847322239,Sloan,Left,crowding,2
S3,horizontal,0,0,0,0.0710211829608883,0.0531451028959025,Pelli,fovea,crowding,2
S3,horizontal,0,0,0,0.0913129495211421,0.0655581334167096,Sloan,fovea,acuity,2
S3,tangential,5,0,5,0.473201186251135,0.338000847322239,Sloan,Right,crowding,1
S3,tangential,-5,-0,5,0.405601016786687,0.301786470823427,Sloan,Left,crowding,1
S3,radial,5,0,5,2.19700550759455,1.56928964828182,Pelli,Right,crowding,1
S3,radial,-5,-0,5,0.490101228617247,0.350072306155176,Pelli,Left,crowding,1
S3,radial,10,0,10,1.87590470263843,1.33993193045602,Sloan,Right,crowding,1
S3,radial,-10,-0,10,1.77450444844176,1.2675031774584,Sloan,Left,crowding,1
S3,radial,0,10,10,5.28971326059304,3.77836661470932,Sloan,Upper,crowding,1
S3,radial,-0,-10,10,2.23080559232678,1.5934325659477,Sloan,Lower,crowding,1
S3,radial,5,0,5,0.642201609912254,0.45871543565161,Sloan,Right,crowding,1
S3,radial,-5,-0,5,0.591501482813918,0.422501059152799,Sloan,Left,crowding,1
S3,radial,0,5,5,1.43650360111952,1.02607400079965,Sloan,Upper,crowding,1
S3,radial,-0,-5,5,1.03090258433283,0.736358988809164,Sloan,Lower,crowding,1
S3,horizontal,0,0,0,0.0777851051476396,0.0591481037340263,Sloan,fovea,acuity,1
S3,horizontal,0,0,0,0.0541113774940101,0.0386509839242931,Pelli,fovea,crowding,1
S4,radial,10,0,10,2.67020669384569,1.90729049560406,Sloan,Right,crowding,1
S4,radial,-10,-0,10,2.92370732933737,2.08836237809812,Sloan,Left,crowding,1
S4,radial,0,10,10,4.7996120319758,3.42829430855414,Sloan,Upper,crowding,1
S4,radial,-0,-10,10,3.09270775299849,2.20907696642749,Sloan,Lower,crowding,1
S4,radial,5,0,5,1.52100381295008,1.08643129496434,Pelli,Right,crowding,1
S4,radial,-5,-0,5,1.35200338928896,0.965716706634969,Pelli,Left,crowding,1
S4,tangential,5,0,5,0.642201609912254,0.458715435651611,Sloan,Right,crowding,1
S4,tangential,-5,-0,5,0.523901313349471,0.386286682653987,Sloan,Left,crowding,1
S4,horizontal,0,0,0,0.0608752996807614,0.0434823569148298,Pelli,fovea,crowding,1
S4,horizontal,0,0,0,0.10822275498802,0.080029001331907,Sloan,fovea,acuity,1
S4,radial,5,0,5,1.01400254196672,0.724287529976227,Sloan,Right,crowding,1
S4,radial,-5,-0,5,1.65620415187897,1.18300296562784,Sloan,Left,crowding,1
S4,radial,0,5,5,2.06180516866566,1.47271797761833,Sloan,Upper,crowding,1
S4,radial,-0,-5,5,1.11540279616339,0.796716282973849,Sloan,Lower,crowding,1
S4,tangential,5,0,5,0.591501482813918,0.422501059152799,Sloan,Right,crowding,2
S4,tangential,-5,-0,5,0.60840152518003,0.434572517985736,Sloan,Left,crowding,2
S4,radial,5,0,5,1.6900042366112,1.20714588329371,Pelli,Right,crowding,2
S4,radial,-5,-0,5,1.35200338928896,0.965716706634969,Pelli,Left,crowding,2
S4,radial,10,0,10,1.5548038976823,1.11057421263021,Sloan,Right,crowding,2
S4,radial,-10,-0,10,3.59970902398185,2.57122073141561,Sloan,Left,crowding,2
S4,radial,0,10,10,4.07291021023298,2.90922157873784,Sloan,Upper,crowding,2
S4,radial,-0,-10,10,2.90680728697126,2.07629091926518,Sloan,Lower,crowding,2
S4,radial,5,0,5,0.86190216067171,0.615644400479793,Sloan,Right,crowding,2
S4,radial,-5,-0,5,1.45340364348563,1.03814545963259,Sloan,Left,crowding,2
S4,radial,0,5,5,1.70690427897731,1.21921734212665,Sloan,Upper,crowding,2
S4,radial,-0,-5,5,1.14920288089561,0.820859200639724,Sloan,Lower,crowding,2
S4,horizontal,0,0,0,0.13189648264165,0.0957823959838175,Sloan,fovea,acuity,2
S4,horizontal,0,0,0,0.0676392218675127,0.0483137299053665,Pelli,fovea,crowding,2
S5,radial,5,0,5,0.490101228617247,0.350072306155176,Sloan,Right,crowding,2
S5,radial,-5,-0,5,0.794301991207262,0.567358565148044,Sloan,Left,crowding,2
S5,radial,0,5,5,1.45340364348563,1.03814545963259,Sloan,Upper,crowding,2
S5,radial,-0,-5,5,1.03090258433283,0.736358988809164,Sloan,Lower,crowding,2
S5,radial,10,0,10,1.57170394004841,1.12264567146315,Sloan,Right,crowding,2
S5,radial,-10,-0,10,4.61371156594856,3.29550826139183,Sloan,Left,crowding,2
S5,radial,0,10,10,5.10381279456581,3.64558056754701,Sloan,Upper,crowding,2
S5,radial,-0,-10,10,3.09270775299849,2.20907696642749,Sloan,Lower,crowding,2
S5,radial,5,0,5,0.709801779376702,0.507001270983359,Pelli,Right,crowding,2
S5,radial,-5,-0,5,0.878802203037822,0.62771585931273,Pelli,Left,crowding,2
S5,tangential,5,0,5,0.60840152518003,0.434572517985736,Sloan,Right,crowding,2
S5,tangential,-5,-0,5,0.625301567546142,0.446643976818674,Sloan,Left,crowding,2
S5,horizontal,0,0,0,0.0845490273343908,0.060392162381708,Pelli,fovea,crowding,1
S5,horizontal,0,0,0,0.142042365921777,0.101621321374542,Sloan,fovea,acuity,1
S5,radial,5,0,5,0.540801355715583,0.386286682653988,Sloan,Right,crowding,1
S5,radial,-5,-0,5,0.963302414868382,0.688073153477415,Sloan,Left,crowding,1
S5,radial,0,5,5,2.60260652438124,1.85900466027232,Sloan,Upper,crowding,1
S5,radial,-0,-5,5,0.743601864108926,0.531144188649233,Sloan,Lower,crowding,1
S5,radial,10,0,10,1.28440321982451,0.917430871303221,Sloan,Right,crowding,1
S5,radial,-10,-0,10,3.80250953237519,2.71607823741085,Sloan,Left,crowding,1
S5,radial,0,10,10,4.08981025259909,2.92129303757078,Sloan,Upper,crowding,1
S5,radial,-0,-10,10,2.73780686331014,1.95557633093581,Sloan,Lower,crowding,1
S5,radial,5,0,5,0.642201609912254,0.45871543565161,Pelli,Right,crowding,1
S5,radial,-5,-0,5,1.19990300799395,0.857073577138535,Pelli,Left,crowding,1
S5,tangential,5,0,5,0.625301567546142,0.446643976818674,Sloan,Right,crowding,1
S5,tangential,-5,-0,5,0.642201609912254,0.470786894484547,Sloan,Left,crowding,1
S5,horizontal,0,0,0,0.125132560454898,0.0913439981949143,Sloan,fovea,acuity,2
S5,horizontal,0,0,0,0.0608752996807614,0.0458980434100978,Pelli,fovea,crowding,2
