,ProlificParticipantID,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP
font,,Agoesa,Arial,Baskerville,Caslon,Courier,Edwardian,Extenda,Frutiger,Georgia,HautRelief,LeMonde,Letraflex,LiebeLotte,Museo,Omfug,Optimistic,ProximaNova,Rollerscript,Sabon,ScarletWood,TheSans,TimesNewRoman,Tiny,Zapfino,Agoesa,Arial,Baskerville,Caslon,Courier,Edwardian,Extenda,Frutiger,Georgia,HautRelief,LeMonde,Letraflex,LiebeLotte,Museo,Omfug,Optimistic,ProximaNova,Rollerscript,Sabon,ScarletWood,TheSans,TimesNewRoman,Tiny,Zapfino
30,5dcee1da1e70da02f89171ea,,,,,,,,-0.9066776124419396,,0.085398113196066,,,,,,,,,-0.8646576178942365,,,,,,,,,,,,,3.068461727883643,,2.975586953883643,,,,,,,,,3.1355464868836442,,,,,
31,5ddd744ee9a0bace34bc2d5a,,,-0.62167032151185,,,,,,,,,,,,,,,,,,,,,,,,2.8539307633836435,,,,,,,,,,,,,,,2.7903112158836434,,2.9946433483836437,,,,
32,5de985cf1be52f0a75357332,,,-0.568535896581333,,,,,,,,,,,,,,,0.15795902877429802,,-0.5663344536293745,,,,,,,2.949012514883644,,,,,,,,,,,,,,,2.9136388508836433,,2.9721569913836436,,,,
33,5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,-1.5086196494376152,,,,,-1.446597252971755,,-0.4299893104720215,,,,,,,,,,,,,,,,,3.327372302883644,,,,,3.3140815658836438,,3.1803313168836427,
34,5e0c664d78322543b1fea686,,,-0.542500777396519,,,,,,,,,,,,,,,0.09284749884220346,,-0.48546787861328944,,,,,,,3.1361541928836436,,,,,,,,,,,,,,,3.0384267928836444,,3.0434852543836435,,,,
35,5e40c06ac0507c307ee951eb,,,,,,,,,,,,,,,,-0.512352996575765,,,,,-0.7324436707664045,,0.3882566608293515,,,,,,,,,,,,,,,,,1.5574839118836439,,,,,2.0032916908836436,,1.542329313383644,
36,5e4e844553bc702cdf68404d,,,,,,,,,,,,,,,,-1.08539854032303,,,,,-1.045907103022535,,0.34532437609070554,,,,,,,,,,,,,,,,,3.286277314383644,,,,,3.3355195123836427,,3.1860012608836437,
37,5e85088b3f06400f3f75e21f,-0.525945977940804,,,,,,,,,,,,,,,,,,,,,,,,3.340135656883644,,,,,,,,,,,,,,,,,,,,,,,
38,5ea196f089935b04d2ee69d9,,,,,,-0.022019968403932,,,-0.710398938152786,,,,,-0.69985344900791,,,,,,,,,,,,,,,,2.498658858883643,,,2.879633629883644,,,,,2.8931023308836434,,,,,,,,,,
39,5ea3310bf9c4f828f0c909c5,,,,,,,,,,,,,,,,-1.21818194856169,,,,,-1.1667856008676298,,0.17016189897836448,,,,,,,,,,,,,,,,,3.147748776383643,,,,,3.032281737883643,,2.9049335413836435,
40,5eaee5a2b1ad425c2eb0061d,,-1.1231651765887,,,,,-0.420498702457417,,,,,,,,,,,,,,,,,,,3.357266732383644,,,,,,,,,,,,,,,,,,,,,,
41,5ebe14249a676b1650b48531,,,,,,,,,,,,,,,0.01566773251034101,,,,,,,-0.521960311772272,,0.0127386388940677,,,,,,,,,,,,,,,2.939751702383644,,,,,,,3.0393625193836433,,2.8609303183836436
42,5ed081544e61f3163c036286,,,,,,,,,,,,,,,,-1.184091758671705,,,,,-1.21033813977362,,-0.013469800481091004,,,,,,,,,,,,,,,,,2.607916893883643,,,,,2.8658438698836433,,2.4861453428836437,
43,5ef6308c40846d2dfca0b66a,,,,,,0.10816993893164485,,,-0.38048784412407155,,,,,-0.5869813234844835,,,,,,,,,,,,,,,,2.5943920148836437,,,2.8552614383836437,,,,,2.8412290008836436,,,,,,,,,,
44,5f0a686635f72917e94c7a63,,,,,,,,,,,,,,,-0.4378851426265595,,,,,,,-1.0349462218680259,,-0.2542562588074495,,,,,,,,,,,,,,,2.8234023513836437,,,,,,,2.9286365403836436,,2.8577860233836434
45,5f14d5cdb5d4c20e78dc1672,,,,-0.869691925475369,-0.7589802955223915,,,,,,,,-0.1983025939720644,,,,,,,,,,,,,,,3.131845111383643,3.177077875883644,,,,,,,,2.943453584383643,,,,,,,,,,,
46,5f4263457bfe15430497cebb,,,,,,-0.119905864260658,,,-1.09029824981223,,,,,-1.14639600166026,,,,,,,,,,,,,,,,2.884824307383644,,,3.114824430383644,,,,,3.1224855933836437,,,,,,,,,,
47,5f47f20025bc3c12380a5cf4,,,,-0.48682771531539,-0.520628859287387,,,,,,,,0.1708793990241475,,,,,,,,,,,,,,,2.9983368988836436,3.1138298513836427,,,,,,,,3.0147830273836433,,,,,,,,,,,
48,5f51529b15e36638fe535eae,,,,-0.4034086594355315,-0.3036045392769395,,,,,,,,0.267596470122346,,,,,,,,,,,,,,,2.6980592003836437,2.703818166383644,,,,,,,,2.629364202383644,,,,,,,,,,,
49,5f6cdde7a8d71310b06e402a,,,,,,,,,,,,,,,,-0.7164451819527835,,,,,-0.606217546074099,,0.33530172257116253,,,,,,,,,,,,,,,,,3.065165242883643,,,,,3.0594632768836423,,2.9284171443836438,
50,5f828a47a08cb43c715fe3a2,,,,,,,,,,,,,,,,-0.5692740841694279,,,,,-0.5619580576315251,,0.535926760925037,,,,,,,,,,,,,,,,,2.9820086843836435,,,,,2.9380001548836434,,2.7679836363836436,
51,5fa4c21a04bc5912180291bc,,-1.1651820010120375,,,,,-0.2392225705657425,,,,,-0.8332861831129394,,,,,,,,,,,,,,3.249224298383643,,,,,3.148581182883644,,,,,3.2025905313836427,,,,,,,,,,,,
52,5fb2c8b4b04a8594fc0a3825,,,,,,,,,,,,,,,-0.32966949278124047,,,,,,,-0.805015220400674,,0.05029670949845,,,,,,,,,,,,,,,2.6201400233836436,,,,,,,3.079273465383642,,2.8370701613836435
53,5fc62b276deb34205bbe558c,-0.3920045905347095,,,,,,,,,,-0.94688849123678,,,,,,-1.12948742147339,,,,,,,,2.8488016798836435,,,,,,,,,,2.9796631918836427,,,,,,3.057132987883643,,,,,,,
54,5fd7782dee03dc08d3f3f491,0.039165907597456945,,,,,,,,,,-0.6296123601221215,,,,,,-0.692003904009248,,,,,,,,1.8708438383836437,,,,,,,,,,2.568095862883643,,,,,,2.644700587883644,,,,,,,
55,5ff082234cfb7df5d6371e99,,,,,,,,-1.064852518604035,,0.0099670017846345,,,,,,,,,-0.928453192309661,,,,,,,,,,,,,3.1378298438836447,,2.919325194383644,,,,,,,,,3.0693755288836435,,,,,
56,600f9342e7bc5518fa9ca92a,,,,,,,,,,,,,,,-0.396077115501414,,,,,,,-1.13846914785937,,-0.295100327443878,,,,,,,,,,,,,,,2.3227333603836446,,,,,,,2.6027303123836436,,2.369243683883643
57,6010b938b9d3f744e89a6447,,,,-0.874812384749271,-0.8584409802623745,,,,,,,,0.07425383623409951,,,,,,,,,,,,,,,3.287201547383645,3.444599547383643,,,,,,,,3.2407179013836425,,,,,,,,,,,
58,60121fca666552254559110d,,,,,,,,,,,,,,,-0.403926278824708,,,,,,,-1.057903954902085,,,,,,,,,,,,,,,,,3.0154733233836426,,,,,,,3.3320691678836436,,3.1600852748836425
59,60196ee67d099006f74c5bb3,,-1.078384091622975,,,,,-0.5680143950701355,,,,,-0.527199452960478,,,,,,,,,,,,,,3.284740947383643,,,,,3.2744751223836435,,,,,3.2255576523836433,,,,,,,,,,,,
60,606a3cf263a18869ac8ee0ed,,,,,,,,-0.7129016317537371,,-0.06678060500598995,,,,,,,,,-0.690551689179746,,,,,,,,,,,,,3.1702217973836424,,3.0861880993836435,,,,,,,,,3.424299885383644,,,,,
61,607db957e9d570c7c2657b8d,,-0.443228558327437,,,,,0.0062811867904356,,,,,-0.0886352172920204,,,,,,,,,,,,,,3.042426508383645,,,,,3.020353942883644,,,,,2.968014533383645,,,,,,,,,,,,
62,608bfa04767191aa4d57bfd8,,,,,,,,,,,,,,,,-0.8217290576676339,,,,,-0.875946014962432,,0.2097929829153675,,,,,,,,,,,,,,,,,2.8304426928836435,,,,,2.8745244088836435,,2.747283895883644,
63,60a48adfe091e410f4eaba34,,,-0.939061497764573,,,,,,,,,,,,,,,-0.07775524728485834,,-1.097302018194375,,,,,,,3.1413867563836444,,,,,,,,,,,,,,,2.8751456908836444,,3.0502914243836425,,,,
64,60c12fe6ca8c4aa6d0185190,,,,,,,,-0.8895240665707795,,-0.026883938038440996,,,,,,,,,-0.6376565288053384,,,,,,,,,,,,,2.7546976408836437,,2.5529349418836436,,,,,,,,,2.6500705523836436,,,,,
65,60c50f3ccf2eebcf270b9488,,,,-0.97534291015203,-0.986770784742926,,,,,,,,-0.492340238271411,,,,,,,,,,,,,,,3.3599766628836436,3.3200092618836434,,,,,,,,3.2354231093836434,,,,,,,,,,,
66,60fcefe49e61a0aa689df3c8,,,,,,,,,,,,,,,-0.24026369003855202,,,,,,,-0.520324837826139,,0.11977890238736134,,,,,,,,,,,,,,,2.9384789488836436,,,,,,,2.945821850383645,,2.8348653588836443
67,60fcf49be5dd0924d4eba91d,,,,,,,,,,,,,,,-0.11047492834851344,,,,,,,-0.632147580995126,,0.11486393294546965,,,,,,,,,,,,,,,3.086450521383643,,,,,,,3.301423266883644,,3.1592020373836447
68,60fd3245706969157168ad50,,,,,,,,-0.8235120443753695,,0.1623658533683653,,,,,,,,,-0.7269695703498605,,,,,,,,,,,,,3.1465233008836426,,3.1684071113836434,,,,,,,,,3.277849725383644,,,,,
69,60fd6618f9a377f54dcdf318,,,,,,,,,,,,,,,-0.16901656674117593,,,,,,,-0.504449549505445,,0.0748314912401161,,,,,,,,,,,,,,,2.6272593958836437,,,,,,,2.6947017868836434,,2.5861106308836437
70,60fde74940100db428b34a06,,,,-0.2967122559902265,-0.307636093152967,,,,,,,,0.24386704558987748,,,,,,,,,,,,,,,3.1414201798836436,2.9953330473836433,,,,,,,,3.013655932883644,,,,,,,,,,,
