fileName,prolificID,conditionName,numTrialsMissing,numLinesMissing,warning_bool
BravePurpleFig546_56b78f11e77ebe000cbefe79_CrowdingReadingAcuity_secondSess13_0001_2025-07-02_23h00.22.252_UTC1.csv,56b78f11e77ebe000cbefe79,crowding_L8_block4,0,7,False
BravePurpleFig546_56b78f11e77ebe000cbefe79_CrowdingReadingAcuity_secondSess13_0001_2025-07-02_23h00.22.252_UTC1.csv,56b78f11e77ebe000cbefe79,crowding_R8_block4,0,6,False
BravePurpleFig546_56b78f11e77ebe000cbefe79_CrowdingReadingAcuity_secondSess13_0001_2025-07-02_23h00.22.252_UTC1.csv,56b78f11e77ebe000cbefe79,crowding_L8_block3,0,11,False
BravePurpleFig546_56b78f11e77ebe000cbefe79_CrowdingReadingAcuity_secondSess13_0001_2025-07-02_23h00.22.252_UTC1.csv,56b78f11e77ebe000cbefe79,crowding_R8_block3,0,3,False
CoolBrownCake836_571a78f06a1c6300114b8d80_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_21h59.52.161_UTC1.csv,571a78f06a1c6300114b8d80,crowding_L8_block2,16,0,False
KindRedSheep687_58cd0bc2a47dbb000171dc8b_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_21h31.28.604_UTC1.csv,58cd0bc2a47dbb000171dc8b,crowding_L8_block2,23,9,False
KindRedSheep687_58cd0bc2a47dbb000171dc8b_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_21h31.28.604_UTC1.csv,58cd0bc2a47dbb000171dc8b,crowding_R8_block2,22,6,False
KindRedSheep687_58cd0bc2a47dbb000171dc8b_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_21h31.28.604_UTC1.csv,58cd0bc2a47dbb000171dc8b,crowding_L8_block1,32,3,False
KindRedSheep687_58cd0bc2a47dbb000171dc8b_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_21h31.28.604_UTC1.csv,58cd0bc2a47dbb000171dc8b,crowding_R8_block1,31,3,False
AlertRedGrape890_5c0873675b32d500012e3f2c_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_23h52.27.991_UTC1.csv,5c0873675b32d500012e3f2c,crowding_R8_block1,0,3,False
AlertRedGrape890_5c0873675b32d500012e3f2c_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_23h52.27.991_UTC1.csv,5c0873675b32d500012e3f2c,crowding_R8_block2,0,2,False
AlertRedGrape890_5c0873675b32d500012e3f2c_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_23h52.27.991_UTC1.csv,5c0873675b32d500012e3f2c,crowding_L8_block2,0,5,False
UpBronzeWhale573_5e38397719e44f0244389781_CrowdingReadingAcuity_secondSess13_0001_2025-07-01_17h48.33.278_ADT.csv,5e38397719e44f0244389781,crowding_L8_block3,49,0,False
UpBronzeWhale573_5e38397719e44f0244389781_CrowdingReadingAcuity_secondSess13_0001_2025-07-01_17h48.33.278_ADT.csv,5e38397719e44f0244389781,crowding_R8_block4,49,0,False
UpBronzeWhale573_5e38397719e44f0244389781_CrowdingReadingAcuity_secondSess13_0001_2025-07-01_17h48.33.278_ADT.csv,5e38397719e44f0244389781,crowding_L8_block4,49,0,False
UpBronzeWhale573_5e38397719e44f0244389781_CrowdingReadingAcuity_secondSess13_0001_2025-07-01_17h48.33.278_ADT.csv,5e38397719e44f0244389781,crowding_R8_block3,49,0,False
RealBrownCorn589_5e99c8efae829502a02f6fc8_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_23h47.11.227_UTC1.csv,5e99c8efae829502a02f6fc8,crowding_L8_block2,0,3,False
RealBrownCorn589_5e99c8efae829502a02f6fc8_CrowdingReadingAcuity_firstSess20_0001_2025-07-02_23h47.11.227_UTC1.csv,5e99c8efae829502a02f6fc8,crowding_R8_block2,0,7,False
SpeedyBlackPear862_5f0788c06b220f03231666a0_CrowdingReadingAcuity_secondSess13_0001_2025-07-02_22h34.15.223_UTC1.csv,5f0788c06b220f03231666a0,crowding_R8_block4,0,2,False
